Informe de palabras clave de búsqueda
8 de mayo de 2026 - 4 de junio de 2026
Estado de las palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,Interacciones,Tasa de interacción,Código de moneda,Coste medio,Coste,Tasa de conv.,Conversiones,Coste/conv.
Habilitado,arreglos calderas calefaccion,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Esplugues de llobregat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servicio mantenimiento calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
En pausa,neteja de cremadors caldera,Concordancia amplia,M! - Search,Calderas,En pausa,en pausa; no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico para freezer,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Rubí,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Sant Cugat del Valles,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes L Hospitalet de Llobregat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mantenimiento de neveras,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Santa Coloma de Gramenet,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Ripollet,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico de calefacción,Concordancia amplia,M! - Search,Calderas,Limitado,baja calidad,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Badalona,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,calderas mantenimiento,Concordancia amplia,M! - Search,Calderas,Apto,,,18,3,"16,67%",EUR,"0,66","1,98","66,67%","2,00","0,99"
Habilitado,reparació calderes junkers,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,caldera a gas,Concordancia amplia,M! - Search,Calderas,Apto,,,258,11,"4,26%",EUR,"2,03","22,31","0,00%","0,00","0,00"
Habilitado,instalacion de frigorificos,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,revisión caldera gas,Concordancia amplia,M! - Search,Calderas,Apto,,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Mataró,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Cornellà de llobregat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación calderas vaillant,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,caldera pierde agua,Concordancia amplia,M! - Search,Calderas,Apto,,,9,1,"11,11%",EUR,"0,79","0,79","0,00%","0,00","0,00"
Habilitado,arreglar congelador comercial,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,[reparacion de calderas],Concordancia exacta,M! - Search,Calderas,Apto,,,17,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,caldera no arranca,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparar caldera en barcelona,Concordancia amplia,M! - Search,Calderas,Apto,,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparacion de caldera barcelona,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servicio de calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,8,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Barcelona,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Vic,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnicos en calefaccion,Concordancia amplia,M! - Search,Calderas,Apto,,,285,23,"8,07%",EUR,"1,78","40,94","0,00%","0,00","0,00"
Habilitado,técnico calderas L Hospitalet de Llobregat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mantenimiento calderas precio,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Sabadell,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Badalona,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación calderas ferroli,Concordancia amplia,M! - Search,Calderas,Apto,,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparació calderes Saunier duval,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico de lavadoras barcelona,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mantenimiento de lavadoras,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación lavadoras,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,arreglar lavadora,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servicio lavadoras,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,lavadora pierde agua,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico lavadora,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,lavadora no centrifuga,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servicios de lavadoras,Concordancia amplia,M! - Search,Lavadoras,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,canviar membrana escalfador,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
En pausa,revisión calentador butano,Concordancia amplia,M! - Search,Calentadores,En pausa,en pausa,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,instalación calentador eléctrico,Concordancia amplia,M! - Search,Calentadores,Apto,,,117,11,"9,40%",EUR,"1,45","15,90","0,00%","0,00","0,00"
Habilitado,reparació d'escalfadors,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,calentador se apaga solo,Concordancia amplia,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico vaillant,Concordancia amplia,M! - Search,Calentadores,Apto,,,70,2,"2,86%",EUR,"2,09","4,17","0,00%","0,00","0,00"
Habilitado,reparación de calentadores a gas,Concordancia amplia,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,neteja escalfador de gas,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparació calderes,Concordancia amplia,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico ariston,Concordancia amplia,M! - Search,Calentadores,Apto,,,9,1,"11,11%",EUR,"2,43","2,43","0,00%","0,00","0,00"
Habilitado,calentador no calienta agua,Concordancia amplia,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,urgencias calentadores gas,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic Bosch,Concordancia amplia,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparació d'escalfadors de gas,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación de calentadores,Concordancia amplia,M! - Search,Calentadores,Apto,,,1.242,105,"8,45%",EUR,"1,94","203,40","4,29%","4,50","45,20"
Habilitado,reparació de calefacció,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,revisió escalfador butà,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
En pausa,Técnicno cointra,Concordancia amplia,M! - Search,Calentadores,En pausa,en pausa; no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,arranjament escalfador,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,[reparació escalfadors],Concordancia exacta,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnico de calderas de gas,Concordancia amplia,M! - Search,Calentadores,Apto,,,43,4,"9,30%",EUR,"4,47","17,89","0,00%","0,00","0,00"
Habilitado,instalador gas autorizado,Concordancia amplia,M! - Search,Calentadores,Limitado,baja calidad,,802,59,"7,36%",EUR,"2,01","118,68","10,17%","6,00","19,78"
Habilitado,caldera de gas instalacion,Concordancia amplia,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,[aigua calenta no surt],Concordancia exacta,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
En pausa,tècnic vaillant,Concordancia amplia,M! - Search,Calentadores,En pausa,en pausa,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,instal·lador gas autoritzat,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,instalación de caldera,Concordancia amplia,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,escalfador fa soroll,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,[agua caliente no sale],Concordancia exacta,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,[reparacion calentadores],Concordancia exacta,M! - Search,Calentadores,Apto,,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparacion de calefaccion,Concordancia amplia,M! - Search,Calentadores,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,escalfador s'apaga sol,Concordancia amplia,M! - Search,Calentadores,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
