Informe de asociación de recursos
8 de mayo de 2026 - 4 de junio de 2026
Estado del activo,Recurso,Tipo de recurso,Nivel,Estado,Motivo del estado,Añadido por,Última actualización,Impr.,Interacciones,Tasa de interacción,Código de moneda,Coste medio,Coste,Clics
Habilitado,Tecni Clima Barcelona,Nombre de la empresa,Campaña,Apto,,Anunciante,"7 ene 2026, 10:51",0,0, --,EUR,0,"0,00",0
Habilitado,https://tpc.googlesyndication.com/simgad/6851718505046249003,Logotipo horizontal,Campaña,Apto,,Anunciante,"7 ene 2026, 10:51",0,0, --,EUR,0,"0,00",0
Habilitado,https://tpc.googlesyndication.com/simgad/6055067635844661335,Imagen,Campaña,Apto,,Anunciante,"31 dic 2025, 15:03",0,0, --,EUR,0,"0,00",0
Habilitado,https://tpc.googlesyndication.com/simgad/4523170213000184336,Imagen,Campaña,Apto,,Anunciante,"31 dic 2025, 15:03",0,0, --,EUR,0,"0,00",0
Habilitado,https://tpc.googlesyndication.com/simgad/4474697199399930069,Imagen,Campaña,Apto,,Anunciante,"31 dic 2025, 15:03",0,0, --,EUR,0,"0,00",0
Habilitado,"Repara Aire Acondicionado
Averías y mantenimiento técnico
Atención rápida en Barcelona
https://www.serveitecniclima.net/instalacion-y-mantenimiento-de-sistemas-de-climatizacion-en-barcelona-lo-que-debes-saber/",Enlace de sitio,Campaña,Apto,,Anunciante,"31 dic 2025, 14:53",0,0, --,EUR,0,"0,00",0
Habilitado,"Reparación de Calderas
Solución de averías urgentes
Técnicos especializados en gas
https://www.serveitecniclima.net/",Enlace de sitio,Campaña,Apto,,Anunciante,"31 dic 2025, 14:53",0,0, --,EUR,0,"0,00",0
Habilitado,"+34640641819
WhatsApp
¡Hola! Necesito consultar por sus servicios.",Mensaje,Campaña,Apto,,Anunciante,"11 feb 2026, 17:39",0,0, --,EUR,0,"0,00",0
Habilitado,"+34640641819
WhatsApp
¡Hola! Necesito consultar por sus servicios.",Mensaje,Campaña,Apto,,Anunciante,"30 ene 2026, 17:00",5.308,270,"5,09%",EUR,"2,22","600,42",270
Habilitado,https://tpc.googlesyndication.com/simgad/8509450290361471016,Logotipo de empresa,Campaña,Apto,,IA de Google,"2 feb 2026, 5:58",2.094,172,"8,21%",EUR,"1,60","275,40",172
Habilitado,Sin intermediarios,Texto destacado,Cuenta,Apto,,Anunciante,"24 mar 2026, 21:05",720,51,"7,08%",EUR,"1,54","78,60",51
Habilitado,Sin intermediarios,Texto destacado,Campaña,Apto,,Anunciante,"31 dic 2025, 15:41",0,0, --,EUR,0,"0,00",0
Habilitado,https://tpc.googlesyndication.com/simgad/16410921139126350209,Imagen,Campaña,Apto,,Anunciante,"31 dic 2025, 15:03",0,0, --,EUR,0,"0,00",0
Habilitado,https://tpc.googlesyndication.com/simgad/15033806038188118556,Imagen,Campaña,Apto,,Anunciante,"25 mar 2026, 23:01",561,21,"3,74%",EUR,"1,83","38,44",21
